panel	dataset	source_file	ACTIVATION_CONCORDANCE	ACTIVATION_EFFECT	ATTENUATION_CONCORDANCE	ATTENUATION_EFFECT	D1_MEAN	D30_MEAN	D7_MEAN	LODO_retention	N_GENES	PEAK_TIME	QUALITY	RETURN_TOWARD_SKIN_RATIO	SKIN_MEAN	SUBTYPE_SENSITIVITY	activation	activation_concordance	activation_sign_preserved	attenuation	attenuation_concordance	attenuation_sign_preserved	donor	gene	input_type	low_cell_count_warning	module	n_fibroblast_cells	rank	rank_stability	sample_id	score	technical_flag	timepoint
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.85763900642709	3		1.66889487681851	3			RDH8			D7_M3		31	0.986904433194599			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.39052607463322	3		1.79964893716737	3			SMOX			D7_M3		32	0.947497919126991			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.2987878893735	3		1.83184320458997	3			MDFIC			D7_M3		33	0.989101070539316			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							4.15690421827232	3		0.722988748879419	3			PPP1R14B-AS1			D7_M3		34	0.995613882640777			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.66929438627158	3		1.58730120585782	3			FOXL1			D7_M3		35	0.989457073371611			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.18864505639735	3		1.83736312831879	3			CDC25A			D7_M3		36	0.995654086344888			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.2621442825088	3		1.75496031195973	3			FGF1			D7_M3		37	0.983675506712303			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.60937939688141	3		1.47173811923456	3			LRR1			D7_M3		38	0.996830403036733			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.54523320901078	3		0.903140852529518	3			ARSI			D7_M3		39	0.991572064483111			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.93612338922095	3		0.656237761913065	3			TUBB3			D7_M3		40	0.996547416774966			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.7186218093531	3		1.35840801802607	3			LINC01524			D7_M3		41	0.962044857431622			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.68664945496769	3		1.3614558923296	3			MFSD12			D7_M3		42	0.994165488034832			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.31198189576954	3		1.5533134046426	3			PANO1			D7_M3		43	0.986128071800071			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.36873534275322	3		1.51826469439277	3			OAF			D7_M3		44	0.969660995793726			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.86161897239492	3		1.78650498614025	3			ARNTL2			D7_M3		45	0.963091316937721			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.90947044046923	3		1.15354171771915	3			IGFLR1			D7_M3		46	0.970079040661388			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.92904186121165	3		1.6709163288208	3			CHST2			D7_M3		47	0.959953364702057			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.71518733047154	3		1.20859042379284	3			SELPLG			D7_M3		48	0.979427011847996			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.15498382359366	3		1.52984999871612	3			MYDGF			D7_M3		49	0.972312331928761			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.67935246563097	3		1.20740882338408	3			DTYMK			D7_M3		50	0.993854363126495			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.9643957755732	3		1.58191733656627	3			FEN1			D7_M3		51	0.988385457425645			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.95640506067449	3		0.979138502501549	3			GLIPR1			D7_M3		52	0.990435261752811			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.01274987792	3		1.54323533341966	3			LINC01588			D7_M3		53	0.979845179381659			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.4662575631353	3		1.245212283766	3			POLE2			D7_M3		54	0.982750511046163			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.59433989451543	3		1.16877286499328	3			PAFAH1B3			D7_M3		55	0.978205363587158			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.07194244921094	3		1.3969773167951	3			TUBG1			D7_M3		56	0.980398996937791			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.43596678081565	3		1.18713938977662	3			XKR8			D7_M3		57	0.973053018920026			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.33307282417495	3		1.23310821254705	3			PKM			D7_M3		58	0.99783015406719			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.83739786258204	3		1.51493144682744	3			PFKP			D7_M3		59	0.992521285595597			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.37246439705806	3		1.18007989523809	3			MYCBP			D7_M3		60	0.995223645276352			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.21626216512171	3		1.31144440834399	3			STAR			D7_M3		61	0.911997206062791			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.0821617969888	3		1.33570305985434	3			CA12			D7_M3		62	0.957756410110295			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.16059266793832	3		1.28964076305618	3			MMD			D7_M3		63	0.982033817030456			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.54864844507472	3		1.04965020098254	3			RGS17			D7_M3		64	0.973389336025133			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.18408051398856	3		1.26057928056974	3			GJC1			D7_M3		65	0.984966780186314			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.03062314831363	3		1.34651953119852	3			RPA3			D7_M3		66	0.993376242352914			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.14793884101612	3		1.28165247713544	3			B3GALT6			D7_M3		67	0.968635154628367			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.89901942832177	3		1.40652103950452	3			POLA2			D7_M3		68	0.988965305395977			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.26622846093634	3		1.34675343965348	3			HGH1			D7_M3		69	0.989425420117078			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.39555403480166	3		0.47581684530061	3			LGI2			D7_M3		70	0.993161675213396			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.56208860476241	3		0.986546536506806	3			GAPDH			D7_M3		71	0.992984587049736			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.47374604330482	3		0.404996320162567	3			SLC12A8			D7_M3		72	0.98182457476831			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.42645784707456	3		1.03177952662399	3			P4HB			D7_M3		73	0.975760214477303			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.81899540398039	3		1.40610896671676	3			NT5M			D7_M3		74	0.97680982679791			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.05015862699861	3		1.24023383427681	3			FGF18			D7_M3		75	0.994572367842496			NO	
