rank	gene	module	activation	attenuation	activation_concordance	attenuation_concordance	LODO_retention	rank_stability	technical_flag
153	FOXC1	D7_M3	1.62660782806103	0.955320462754865	3	3	3	0.931473032535991	NO
154	RP11-489G11.4	D7_M3	1.9534275554028	0.759597209648899	3	3	3	0.929213964823919	NO
155	SND1-IT1	D7_M3	1.87148122364379	0.753435069233532	3	3	3	0.933332769301908	NO
156	ERG	D7_M3	1.61692681998483	1.06963042751901	3	3	3	0.964739721685059	NO
157	ATP13A2	D7_M3	1.28744186161579	1.10558064226421	3	3	3	0.994129839052605	NO
158	VRK1	D7_M3	1.34846155404375	1.06138394966238	3	3	3	0.967242566743245	NO
159	PGAM1	D7_M3	2.07676717968266	0.612521749313808	3	3	3	0.987108612984109	NO
160	PUDP	D7_M3	1.91589661828743	0.720827920695982	3	3	3	0.92828639558051	NO
161	AQP9	D7_M3	1.61941003808852	0.911139274710918	3	3	3	0.924164363240337	NO
162	SSNA1	D7_M3	1.77705676206868	0.783245060569215	3	3	3	0.97093910746593	NO
163	ACTL10	D7_M3	1.59187159455206	0.895466856034206	3	3	3	0.925993979877075	NO
164	TLCD1	D7_M3	1.91232030332106	0.83579576256389	3	3	3	0.97226339184319	NO
165	WDR1	D7_M3	1.67975885475533	0.806735385583349	3	3	3	0.957031548964327	NO
166	HTRA3	D7_M3	1.61980941924843	0.871946373060615	3	3	3	0.956842334735837	NO
167	IGF2BP2	D7_M3	2.31227868240143	0.413851764582117	3	3	3	0.98902029456781	NO
168	AC079922.3	D7_M3	1.68191736874293	0.812265764930041	3	3	3	0.951566510127058	NO
169	EMC6	D7_M3	1.71147191503819	0.749924271731499	3	3	3	0.988213505481847	NO
170	NEK6	D7_M3	1.64496407039277	0.802713475132406	3	3	3	0.966175201367921	NO
171	GPAT2	D7_M3	1.70864101703878	0.917570445192831	3	3	3	0.986562858218292	NO
172	NUP37	D7_M3	1.60418686276556	0.83734974855548	3	3	3	0.9339440559925	NO
173	KRBOX1	D7_M3	1.50717575069507	0.866941372568797	3	3	3	0.971840196485122	NO
174	MRPL37	D7_M3	1.64202630404187	0.79353483431681	3	3	3	0.982215687623618	NO
175	PDIA4	D7_M3	1.61084308258453	0.787292240656881	3	3	3	0.992378263490999	NO
176	ASL	D7_M3	1.63018186896242	0.776792402758949	3	3	3	0.986880111901313	NO
177	MACROH2A2	D7_M3	1.96300846981596	0.545270335353018	3	3	3	0.934853674889123	NO
178	FHOD1	D7_M3	1.33725270552204	0.949051742884779	3	3	3	0.959765753292856	NO
179	HAGHL	D7_M3	1.58765583591483	0.959836026924518	3	3	3	0.943979070853825	NO
180	LINC00941	D7_M3	2.14065171028425	0.456676647633874	3	3	3	0.957841775124264	NO
181	ME3	D7_M3	1.44272614298509	1.01011851729243	3	3	3	0.967528673759105	NO
182	FHL3	D7_M3	1.39948292079605	0.879446848707384	3	3	3	0.968438434825231	NO
183	COMMD7	D7_M3	1.32785979495679	0.943333119102119	3	3	3	0.960215585030028	NO
184	CLPP	D7_M3	1.78747625955497	0.643188191025446	3	3	3	0.983228852907201	NO
185	IKBKE	D7_M3	1.67638911541489	0.698284721746937	3	3	3	0.933199227259643	NO
186	TBC1D1	D7_M3	1.45783529216583	0.843229176843622	3	3	3	0.983445472146784	NO
187	PRELID3A	D7_M3	1.64545755060746	0.716722371335571	3	3	3	0.927149002523083	NO
188	CDK6	D7_M3	1.42416446809689	0.861781947459691	3	3	3	0.97030371665708	NO
189	LTBP2	D7_M3	1.55274011098099	0.783379869042746	3	3	3	0.966806340994393	NO
190	MDH2	D7_M3	1.8348268640329	0.58926867549361	3	3	3	0.978176389506151	NO
191	FMNL3	D7_M3	1.78956781482726	0.639563532449323	3	3	3	0.914533774955961	NO
192	AP2S1	D7_M3	2.15621541189269	0.395313359096781	3	3	3	0.98448673919431	NO
193	STEAP1B	D7_M3	1.43054290355845	0.810286229865952	3	3	3	0.925667829329608	NO
194	PGK1	D7_M3	1.51010948594635	0.788975556038136	3	3	3	0.963768475363076	NO
195	ACTG1	D7_M3	1.800750931509	0.59992194614273	3	3	3	0.965535400229232	NO
196	PCNA	D7_M3	1.24921027429275	0.941237256061093	3	3	3	0.965390862074295	NO
197	GOT2	D7_M3	1.37502039269019	0.836263187858857	3	3	3	0.983118417758679	NO
198	ZC3HC1	D7_M3	1.4094807456035	0.82986537705346	3	3	3	0.927843382059464	NO
199	RARS1	D7_M3	1.80407654922526	0.574173411769306	3	3	3	0.985418832892188	NO
200	BEND6	D7_M3	2.08229224049055	0.395447217097668	3	3	3	0.94381710193732	NO
201	PTPRJ	D7_M3	0.96110968412626	1.0806827727039	3	3	3	0.965520328223354	NO
202	TPM3	D7_M3	1.45301263191382	0.777930698783821	3	3	3	0.988788956799541	NO
203	RCN1	D7_M3	1.48371662934815	0.741920529834774	3	3	3	0.965290407688035	NO
204	CDC7	D7_M3	1.28795179939582	0.848845425713597	3	3	3	0.94931861483306	NO
205	SLC25A13	D7_M3	1.4788892894163	0.776089342254938	3	3	3	0.928348996080905	NO
206	IMMT	D7_M3	1.15556826810371	0.935601960536879	3	3	3	0.98681258642256	NO
207	URI1	D7_M3	1.2786881700421	0.912697393103144	3	3	3	0.886387400223099	NO
208	MTCH2	D7_M3	1.99810294625519	0.407856224698527	3	3	3	0.980314397071023	NO
209	EFL1	D7_M3	1.09425762832346	0.967698295862583	3	3	3	0.958044279219756	NO
210	SAE1	D7_M3	1.60424516073792	0.655867887459667	3	3	3	0.967989907309531	NO
